"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PRSS2",80.1647905707382,-8.28762615047886,1.06636324670044,-7.77186027005582,7.73417411722842e-15,1.19794622901751e-10
"GNLY",391.954747070097,-4.12536696023033,0.723012600939034,-5.70580229842799,1.15796342618848e-08,8.96784775411669e-05
"HCK",39.15577763483,-6.46240849788038,1.15633476720237,-5.58870033244394,2.28775349408974e-08,0.000118116712899853
"BMP3",22.9710846786077,-8.45300088448114,1.77686827733871,-4.75724677641359,1.9625120149777e-06,0.00379966857499869
"SOX4",51.086902015644,-6.33336872335771,1.32316478912826,-4.78653057834943,1.69689095729772e-06,0.00379966857499869
"MARCKS",107.577359344707,-3.283495540793,0.674550111995314,-4.86768215200564,1.12914741993531e-06,0.00379966857499869
"CDK6",39.2878262993168,-5.84247284574662,1.20793157731742,-4.83675810406545,1.31973871698675e-06,0.00379966857499869
"GAS6",72.6542561026157,-3.9697425695537,0.830251856377448,-4.78137150680333,1.74103271929719e-06,0.00379966857499869
"CD9",37.2049843108875,-4.45404343606104,0.948929314303773,-4.69375681509951,2.68232878125149e-06,0.00461628783253381
"HTRA3",233.159510255359,-3.03283334922048,0.650518770129252,-4.6621765404523,3.12882610213135e-06,0.00484623874959125
"TSC22D3",2644.48581127351,2.07084933757098,0.46226961283509,4.4797435956703,7.47327578923855e-06,0.010523051699956
"JUN",3063.35350153754,1.8431007076527,0.416239881790954,4.42797720324731,9.51209522043877e-06,0.0122777369057813
"JUP",67.4688936888698,-3.38241606646993,0.773953292701557,-4.37031032539868,1.24070085675377e-05,0.0147824735155839
"GZMB",83.8353800912293,-4.05349514603324,0.936312684381206,-4.32921097155929,1.49644525507135e-05,0.0165560289684286
"IRF1",473.22347296601,-2.16292997785611,0.501691903520005,-4.31127144504509,1.6231849558071e-05,0.0167610078536642
"OTUD1",197.053656645973,2.58470751834684,0.61773955162569,4.18413797780105,2.86250218929119e-05,0.0270173403554731
"RHBDL1",51.5984423531238,-3.85832482400025,0.923902865756469,-4.17611522488477,2.9652965720385e-05,0.0270173403554731
"DEPP1",17.842584040835,-6.57647985754006,1.58161246643254,-4.158085496363,3.209259194091e-05,0.0276156753651531
"LINC01781",30.0507824976554,-4.52694274222046,1.10475259064594,-4.09769823628435,4.17278770273456e-05,0.0340170045935029
"GZMA",84.693881594947,-4.04490093559242,1.02822639634788,-3.93386218245257,8.35917246651171e-05,0.0630890924809893
"GZMH",140.764577928136,-3.96868831820848,1.01027254676912,-3.92833432017968,8.55362477952596e-05,0.0630890924809893
"MME",14.6179629772958,-7.90380685272233,2.01905405051622,-3.91460884898129,9.05508816389613e-05,0.0637519366229942
"GAB1",344.20030507022,2.03856891428297,0.525946321819179,3.87600184602838,0.000106186878386172,0.0715099373618877
"CCND3",706.826503289397,1.73375457819805,0.453200513777792,3.82557946315155,0.000130464841500457,0.0841987470833575
"KLRD1",40.2098494158679,-4.32910281314079,1.14226387165923,-3.78993236199655,0.000150688311007487,0.0933604499677988
"LGALS3BP",16.1855329055164,-5.87679904244539,1.55983097875903,-3.7675870799289,0.000164833051532166,0.098196120583912
"EPCAM",15.7542739827607,-6.92696725400509,1.89822473906275,-3.64918184420318,0.000263076836930526,0.146977102471476
"CES1",12.5296825519678,-7.72286536062837,2.11780521710751,-3.64663629036491,0.00026569558197439,0.146977102471476
"FYN",83.5773721355725,-2.36914657011426,0.679811651144953,-3.48500436278798,0.000492129017365782,0.262847805171676
"PARM1",21.3805038698853,-4.87525179939723,1.41148394026762,-3.45399027244539,0.000552357298790859,0.275982651644246
"FCER2",1417.83690060836,1.48711756378144,0.430156000186777,3.45715871250365,0.000545903232673828,0.275982651644246
"PLD4",195.479784326913,-3.17604162810394,0.927304344299152,-3.42502614986061,0.000614740248488531,0.297553490901214
"RHOB",697.566729316504,1.86510293877232,0.546864275619862,3.41054082689577,0.000648341766576632,0.302583202338834
"CA1",13.7191420531561,-7.07120948343757,2.0854456668513,-3.3907426100024,0.000697035302260333,0.302583202338834
"PRF1",92.5315907642692,-2.22775264051701,0.655213619288975,-3.4000401928985,0.000673759485201624,0.302583202338834
"MYEOV",9.03150888876218,-7.01567918933037,2.07056022269141,-3.38829999361771,0.000703272986261091,0.302583202338834
"CAMK4",20.0256812044885,-4.50334469678042,1.34358109722193,-3.35174758419258,0.000803031991814861,0.319172816683505
"FKBP5",254.07034232723,1.78617383324554,0.532942103696072,3.35153447411646,0.000803650322852134,0.319172816683505
"ACY3",34.5257869302108,-4.24075923614435,1.26395666087359,-3.35514608009844,0.000793230849103982,0.319172816683505
"CTSW",103.783964180726,-3.547379953816,1.06457085582882,-3.33221592005183,0.000861573818749121,0.333622921965128
"ID3",529.287283889496,1.76590173844858,0.531335710512312,3.32351412395359,0.000888909213193678,0.335812556174558
"MYO7B",19.8944724892958,-4.85105498586974,1.46532957388793,-3.31055557214922,0.000931109615812648,0.338020779828165
"FGFBP2",64.6220516992367,-3.70064679707418,1.11857037405018,-3.3083719030343,0.000938401028640397,0.338020779828165
"JAK3",154.945658915687,-1.81860203949445,0.55470325849002,-3.27851335224699,0.00104355427222164,0.367354820964567
"CD99",1436.4183671596,1.3829383754227,0.42456042648412,3.25734168602364,0.00112460971076538,0.387090662445445
"STAT1",220.101765787178,-1.74424620750512,0.539142056014213,-3.23522564794897,0.00121546631917264,0.40518936034184
"PLAAT4",95.3926155713099,-3.16475394640934,0.979210622138304,-3.23194405254557,0.00122951126193211,0.40518936034184
"CD3G",71.8007498857662,-3.38617937430522,1.05157424222266,-3.22010490400374,0.00128143694952252,0.41350368564905
"TXNIP",2298.6462165506,1.27219151109772,0.408035968529163,3.11784158559247,0.00182180696883299,0.575876900821513
"LAPTM5",4541.48263207714,1.22177027090809,0.394211554588852,3.09927564701231,0.00193994440386953,0.582030620540961
"LINC02848",1.47515401479197,14.9289617926563,4.82905896198221,3.09148467852386,0.00199158259982381,0.582030620540961
"ANXA1",70.1035576185037,-3.77507219081138,1.21710108801211,-3.10169157516505,0.00192418321919683,0.582030620540961
"DACH2",1.47515401479197,14.9289617926563,4.82905896198221,3.09148467852386,0.00199158259982381,0.582030620540961
"WASF1",38.2455352310615,-2.86084356531362,0.942183006200121,-3.03639902915631,0.00239422282607904,0.686742913947004
"SMAP2",1080.72580740646,1.26723468683168,0.423705944909603,2.99083527634251,0.00278215526111908,0.691566650616129
"GBP5",49.9512365536806,-2.87133491352818,0.961422050349518,-2.98654988460513,0.0028214480217579,0.691566650616129
"PARP9",118.098952727113,-1.97529833890215,0.657514970500977,-3.00418762693285,0.00266291049547895,0.691566650616129
"MGLL",40.8907694746321,-2.64666015575128,0.880065519545518,-3.00734444989739,0.00263540959759132,0.691566650616129
"SUGCT",8.35312170131188,-7.26628330618065,2.42367615826622,-2.99804216062372,0.00271720081033128,0.691566650616129
"STXBP6",5.48063633722653,-8.0282234149562,2.66174664426336,-3.01614860011518,0.0025600776246322,0.691566650616129
"SCNN1B",7.64796509504952,-6.21529828838774,2.07950999590731,-2.9888282819607,0.00280049474813192,0.691566650616129
"IL4R",823.357907160835,1.30083419349074,0.435698250215797,2.9856309793451,0.00282993916729202,0.691566650616129
"BCL2",701.007467710537,1.3282477626877,0.445322846602373,2.98266251736616,0.00285752893275436,0.691566650616129
"LINC00892",8.35312170131188,-7.26628330618065,2.42367615826622,-2.99804216062372,0.00271720081033128,0.691566650616129
"ICAM1",35.1150531277173,-2.71209656363216,0.912864740364612,-2.97097307378628,0.00296857806839676,0.707389318483037
"SH3TC1",252.948270186087,-1.52992749901961,0.516229212073204,-2.96365928784878,0.00304004677723967,0.711432293613496
"CEMIP2",68.8491257697289,2.48680218176789,0.840164775552889,2.95989817013144,0.00307740742927912,0.711432293613496
"FAM3B",16.9169796904512,-5.69476648610659,1.93127404538464,-2.94870968711869,0.00319103581272933,0.726852260343597
"TMEM125",30.1309318659623,-3.13984469959139,1.07070612966726,-2.93249904207344,0.00336245959829263,0.744016238827923
"KLF6",1965.78412548733,1.3395274712274,0.45625462641786,2.93592085135504,0.00332559163118421,0.744016238827923
"HOPX",24.4981272651818,-3.5326125515484,1.20806086331203,-2.92420080712107,0.00345341887124799,0.753380350658594
"PELI1",584.864006010105,1.32441439786346,0.454356519270618,2.91492328533011,0.00355775984197716,0.765363086005337
"CST3",36.9464240574486,-2.81385330997365,0.972516653709501,-2.89337287874782,0.00381128534365408,0.808671214902165
"HOMER3",106.333555187806,1.96050965135144,0.68421341054923,2.86534818102689,0.00416550957731236,0.861069151503948
"PPP1R15A",1194.70742194516,1.22468294246996,0.427455915548875,2.86505086939177,0.00416942258136717,0.861069151503948
"DNAAF1",21.6996370223949,-4.25708738345849,1.48982837528485,-2.85743475831205,0.00427080421614544,0.870401138208904
"HRK",313.264536194898,-2.21902477052479,0.788358160963811,-2.81474192873441,0.00488164183532927,0.981970784252144
"AL627309.1",1.59386010689302,-2.46288950019945,3.70199005265672,-0.665287984345598,0.505866314371133,0.999972696140104
"AL627309.5",0.447910918058784,-0.175822352496446,4.8417457971653,-0.0363138338653353,0.97103211938612,0.999972696140104
"LINC01409",17.9215655316373,1.67534060339584,1.44029831649485,1.16319000321613,0.24475242158902,0.999972696140104
"FAM87B",0.836483852440331,-3.02309095616382,4.89235570843176,-0.617921332039217,0.536627196497297,0.999972696140104
"LINC01128",219.041860245749,0.269902042023166,0.618976583253905,0.436045642638554,0.662803614349428,0.999972696140104
"LINC00115",9.70184230099295,1.88683308300733,1.8601489397492,1.01434516488864,0.310418079921616,0.999972696140104
"FAM41C",0.579628506137501,0.38649663504718,4.81872405744323,0.0802072562030562,0.936072419142302,0.999972696140104
"SAMD11",42.6578312388108,-1.16883597994103,1.06184341739675,-1.1007611487639,0.271000624888817,0.999972696140104
"NOC2L",197.083376971744,-0.0252834315156325,0.539826910560751,-0.0468361821558119,0.962643791473879,0.999972696140104
"KLHL17",8.3391507410543,1.13400322095507,2.01013314981257,0.564143336007768,0.572656587338182,0.999972696140104
"PLEKHN1",3.57676678010828,0.740863698232626,2.85099577928083,0.259861380229581,0.794970702203223,0.999972696140104
"HES4",77.8011245019854,-1.59480352782171,0.882014215619906,-1.80813812246874,0.0705850061790265,0.999972696140104
"ISG15",157.281243826655,-0.226655934479869,0.573214914611704,-0.39541178832272,0.692539010603297,0.999972696140104
"AGRN",1.39616494778957,1.39420694231303,4.33106306290553,0.321908714341767,0.747521851220828,0.999972696140104
"C1orf159",25.306551158122,-1.17347105467919,1.06165563000301,-1.10532174606926,0.269020198398306,0.999972696140104
"TNFRSF18",17.2196521595673,-2.0433337639646,1.38756752906688,-1.47260131212404,0.140858570804474,0.999972696140104
"TNFRSF4",21.3756918528574,-0.844175814442589,1.23159538327201,-0.68543275324713,0.493070881711331,0.999972696140104
"SDF4",331.372863550964,0.294792816758039,0.47841399782951,0.616187691195216,0.53777065125145,0.999972696140104
"B3GALT6",55.7043247857944,-0.679597168342025,0.788696279724262,-0.861671578544304,0.388868269826276,0.999972696140104
"C1QTNF12",2.58883096622415,-0.895381586171039,3.20910717783826,-0.279012677530513,0.780235095701965,0.999972696140104
"UBE2J2",180.886604103796,-0.252874507468527,0.538930126799896,-0.469215757096502,0.638915423635047,0.999972696140104
"SCNN1D",2.25244804728661,-0.842245704321245,3.17737311553418,-0.265076109633932,0.790950830970412,0.999972696140104
"ACAP3",24.2595272306804,0.00898965687773192,1.10082538110032,0.008166287798294,0.993484317466667,0.999972696140104
"PUSL1",32.8217579945246,0.749186825023507,1.01526427800936,0.737922963755256,0.460561263541708,0.999972696140104
"INTS11",163.465011645757,0.314035272552388,0.57146181573749,0.549529756676946,0.582641949393527,0.999972696140104
"CPTP",71.8295296619118,0.763250022721925,0.799361326364948,0.954824805188866,0.339666301080855,0.999972696140104
"TAS1R3",28.6154723386487,0.947978740513994,1.54872215870577,0.612103814222041,0.540469074141374,0.999972696140104
"DVL1",20.5314561608596,0.31607868897832,1.21693972054163,0.259732412084997,0.79507018919162,0.999972696140104
"MXRA8",33.6270520327539,0.755890890104174,1.15638567197143,0.65366677262225,0.513326514839039,0.999972696140104
"AURKAIP1",487.066720904754,0.196342082453842,0.452296833117619,0.434100060131934,0.66421578183514,0.999972696140104
"CCNL2",138.594461437529,0.530872951101059,0.613145606665952,0.865818731031509,0.38658957560204,0.999972696140104
"MRPL20-AS1",44.7972729941309,-0.473909760648096,0.843346709979284,-0.56193941950605,0.574157294920287,0.999972696140104
"MRPL20",299.193619926697,-0.188001061013391,0.559244258840457,-0.336169854301579,0.736742784159751,0.999972696140104
"ANKRD65",0.632208863482271,-1.62239022296027,4.76162195880637,-0.340722181852288,0.733312738129542,0.999972696140104
"ATAD3C",22.5019383848244,0.33979206463987,1.20243290501666,0.282587130826365,0.777493346520565,0.999972696140104
"ATAD3B",37.3460195693576,0.187056505686812,0.922530712365024,0.202764529331786,0.839319083487901,0.999972696140104
"ATAD3A",39.5855092859599,0.729316172447352,0.92314596970798,0.79003342524266,0.429508247990629,0.999972696140104
"TMEM240",3.32589910073413,-3.03806846735201,3.01173182439339,-1.00874468395403,0.313097095983111,0.999972696140104
"SSU72",377.404322053659,-0.100337405345877,0.46651782561551,-0.215077323601718,0.829707033333374,0.999972696140104
"AL645728.1",10.4988814312504,0.686732636615377,1.64674635365383,0.417023930304531,0.676660904146046,0.999972696140104
"FNDC10",15.5706418303514,-0.478204960908713,1.45515821747071,-0.328627468248714,0.742437283543533,0.999972696140104
"AL691432.2",22.1323814379462,-1.34894652801873,1.16382381301321,-1.15906420966437,0.246430013188523,0.999972696140104
"MIB2",109.061609155548,-0.028881666092763,0.623610613421771,-0.0463136217876223,0.963060282343474,0.999972696140104
"MMP23B",3.37255666484185,-2.27389662231692,2.61408068098205,-0.869864743984363,0.384374324462311,0.999972696140104
"CDK11B",99.1377409182338,0.358157778540295,0.64739911825668,0.553225619930938,0.580108925691224,0.999972696140104
"SLC35E2B",110.405483973257,0.279117433868064,0.627206752362358,0.445016627797413,0.656307737774412,0.999972696140104
"CDK11A",156.671710769828,0.144887040598624,0.563906837221941,0.256934356945205,0.797229447651287,0.999972696140104
