"pathway","pval","padj","log2err","ES","NES","size"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",7.22610984591548e-07,3.61305492295774e-05,0.659444398037935,0.772631404764534,1.60524474161258,199
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.00269319552825232,0.0650420747452165,0.431707695803346,0.698000589422402,1.44281751144966,185
"HALLMARK_HYPOXIA",0.00390252448471299,0.0650420747452165,0.431707695803346,0.69322039879297,1.42844043199025,166
"HALLMARK_MTORC1_SIGNALING",0.00545125140685725,0.0663542947785923,0.407017918923954,0.661819646130297,1.37189822304583,191
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.0104256483504001,0.0663542947785923,0.380730400722792,0.692222809966442,1.41350419686965,132
"HALLMARK_GLYCOLYSIS",0.0106200170481943,0.0663542947785923,0.380730400722792,0.663087285574882,1.36928934988624,172
"HALLMARK_P53_PATHWAY",0.0123069330453049,0.0663542947785923,0.380730400722792,0.657705845421499,1.35641858048346,176
"HALLMARK_ALLOGRAFT_REJECTION",0.0124487927210251,0.0663542947785923,0.380730400722792,0.663443447370812,1.36845764902211,171
"HALLMARK_MYC_TARGETS_V1",0.0129242007418835,0.0663542947785923,0.380730400722792,0.656726229406731,1.36288445728338,195
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.0132708589557185,0.0663542947785923,0.380730400722792,0.710166911738869,1.42933068006669,106
"HALLMARK_DNA_REPAIR",0.0271444082519001,0.123383673872273,0.287857117255149,0.654084036850972,1.34020416635813,148
"HALLMARK_ANDROGEN_RESPONSE",0.0340522133938706,0.140370578326783,0.261663521711573,0.694233873374381,1.38543535190622,91
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.0364963503649635,0.140370578326783,0.261663521711573,0.75422845191915,1.41983745836811,48
"HALLMARK_APOPTOSIS",0.0661605206073753,0.236287573597769,0.179782316298324,0.620806818745335,1.27232576525364,147
"HALLMARK_TGF_BETA_SIGNALING",0.0853658536585366,0.284552845528455,0.166933848713193,0.69844891024349,1.31919292826984,50
"HALLMARK_UV_RESPONSE_UP",0.0926935659760087,0.284694215559309,0.150169802128406,0.610959357066899,1.2489650479704,140
"HALLMARK_ADIPOGENESIS",0.106681034482759,0.284694215559309,0.138022242496643,0.587374408451584,1.21540446945159,180
"HALLMARK_PROTEIN_SECRETION",0.10783200908059,0.284694215559309,0.141225119642531,0.629681381371304,1.25661233144482,91
"HALLMARK_KRAS_SIGNALING_DN",0.108183801912537,0.284694215559309,0.287805130535564,-0.540719072891051,-1.31671641095695,107
"HALLMARK_KRAS_SIGNALING_UP",0.114470842332613,0.286177105831533,0.132846300606183,0.597886774983249,1.23056073985663,154
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.134490238611714,0.320214853837413,0.121543282035469,0.593291152240123,1.21593319612326,147
"HALLMARK_NOTCH_SIGNALING",0.189873417721519,0.431530494821634,0.211400189384923,-0.574636877406894,-1.21887790076915,28
"HALLMARK_G2M_CHECKPOINT",0.219972813719721,0.467716672467804,0.249246554383295,-0.429139158525686,-1.1130840574526,192
"HALLMARK_PANCREAS_BETA_CELLS",0.23055934515689,0.467716672467804,0.101350743797099,0.711032526618279,1.21337186336732,18
"HALLMARK_HEME_METABOLISM",0.240520043336945,0.467716672467804,0.0855356947987884,0.546651052929041,1.1288715198863,183
