"pathway","pval","padj","log2err","ES","NES","size"
"KEGG_RIBOSOME",6.22107594585746e-24,1.02025645512062e-21,1.27091304449619,0.971473069736082,1.91977020129545,85
"KEGG_ASTHMA",0.00087650425938161,0.071873349269292,0.477270815362862,0.917563377577495,1.57388548323911,20
"KEGG_HUNTINGTONS_DISEASE",0.00175722014382302,0.0960613678623251,0.45505986738723,0.706807218898873,1.4511109784132,156
"KEGG_LEISHMANIA_INFECTION",0.00832676467984245,0.233730791873576,0.380730400722792,0.761555603679401,1.46427846122109,66
"KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS",0.00856988189677215,0.233730791873576,0.380730400722792,0.81645784925487,1.51919811110067,43
"KEGG_N_GLYCAN_BIOSYNTHESIS",0.00999981791472779,0.233730791873576,0.380730400722792,0.790273639326229,1.47301681548389,44
"KEGG_ALZHEIMERS_DISEASE",0.0115526143166899,0.233730791873576,0.380730400722792,0.679499325907832,1.38594480278882,145
"KEGG_PROTEIN_EXPORT",0.0116802984725041,0.233730791873576,0.380730400722792,0.860064870876112,1.49971704719352,23
"KEGG_COMPLEMENT_AND_COAGULATION_CASCADES",0.0128266897979401,0.233730791873576,0.380730400722792,0.808151505589764,1.49581999951624,41
"KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION",0.0160710617674215,0.263565412985712,0.352487857583619,0.794893051530665,1.47907209602374,43
"KEGG_ALLOGRAFT_REJECTION",0.0207431080858591,0.309260884189173,0.352487857583619,0.787900482447149,1.4205606788559,33
"KEGG_AUTOIMMUNE_THYROID_DISEASE",0.0241098426507116,0.329501182893058,0.352487857583619,0.782615083666296,1.41103126511975,33
"KEGG_TYPE_I_DIABETES_MELLITUS",0.0281249797558077,0.354807436919421,0.352487857583619,0.781833384470545,1.41670782360316,34
"KEGG_VIRAL_MYOCARDITIS",0.033214709371293,0.389086595492289,0.271288554688953,0.724732059066297,1.3856234346644,60
"KEGG_GRAFT_VERSUS_HOST_DISEASE",0.0366904582552779,0.390941597139452,0.321775918075361,0.798172006019032,1.45064542982221,35
"KEGG_CARDIAC_MUSCLE_CONTRACTION",0.0381406436233611,0.390941597139452,0.252961123069611,0.723980760005639,1.36800151586054,52
"KEGG_ABC_TRANSPORTERS",0.0430410560191157,0.415219599243234,0.321775918075361,-0.678529183771715,-1.50002837624972,32
"KEGG_LYSOSOME",0.0487264673311185,0.443952257905746,0.213927855492356,0.653761249289834,1.31308172609146,112
"KEGG_CELL_ADHESION_MOLECULES_CAMS",0.0570469798657718,0.492405510420346,0.197822021315103,0.663066336767792,1.32185700623165,97
"KEGG_DORSO_VENTRAL_AXIS_FORMATION",0.0899653979238754,0.67701749899536,0.282013350011725,-0.698710888800158,-1.39041702525486,19
"KEGG_TASTE_TRANSDUCTION",0.0994550408719346,0.67701749899536,0.163180127180689,0.75756690292582,1.31519091766163,22
"KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION",0.10010649627263,0.67701749899536,0.142056643575821,0.597195905848969,1.22843841715608,167
"KEGG_COLORECTAL_CANCER",0.102016607354686,0.67701749899536,0.149207542435322,0.673953278727522,1.28853890923065,60
"KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION",0.102958579881657,0.67701749899536,0.148261500475107,0.664062824168269,1.27576489482291,65
"KEGG_P53_SIGNALING_PATHWAY",0.10887573964497,0.67701749899536,0.143758989039275,0.661044294556116,1.26996584393041,65
"KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM",0.119946091644205,0.67701749899536,0.14641623786055,0.748840370227302,1.30577204916251,23
"KEGG_OXIDATIVE_PHOSPHORYLATION",0.124861878453039,0.67701749899536,0.128142916898415,0.610221312566817,1.22765366515029,116
"KEGG_GAP_JUNCTION",0.12599055080498,0.67701749899536,0.249246554383295,-0.521967801777093,-1.29126372907039,63
"KEGG_VIBRIO_CHOLERAE_INFECTION",0.126964933494559,0.67701749899536,0.133554954557592,0.682495135059056,1.27556996779507,45
"KEGG_PARKINSONS_DISEASE",0.127494456762749,0.67701749899536,0.126875729929857,0.609972824423339,1.22492293252376,114
"KEGG_PYRIMIDINE_METABOLISM",0.12797281993205,0.67701749899536,0.128142916898415,0.629589926195487,1.24474416911568,91
"KEGG_O_GLYCAN_BIOSYNTHESIS",0.165980795610425,0.802922908293752,0.123257226381337,0.731396115603148,1.26886666612173,21
"KEGG_PYRUVATE_METABOLISM",0.16625,0.802922908293752,0.116739204791222,0.681926121342478,1.23937322274149,35
"KEGG_GLUTATHIONE_METABOLISM",0.166459627329193,0.802922908293752,0.116234148779716,0.679551127111815,1.24472320368506,37
"KEGG_PRION_DISEASES",0.182058047493404,0.834605597964376,0.114266502484433,0.700437700383414,1.24234719559017,27
"KEGG_PURINE_METABOLISM",0.183206106870229,0.834605597964376,0.101713902282311,0.58600430445612,1.18553427498626,127
"KEGG_NEUROTROPHIN_SIGNALING_PATHWAY",0.198228128460687,0.852522140931844,0.0978773277424561,0.582242991757164,1.16943705894415,112
"KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION",0.204968944099379,0.852522140931844,0.102821842840815,0.659580692130467,1.20814366931711,37
"KEGG_GLYCOLYSIS_GLUCONEOGENESIS",0.209638554216867,0.852522140931844,0.0995791200495904,0.644495103704494,1.2083054751172,46
"KEGG_RNA_POLYMERASE",0.214941022280472,0.852522140931844,0.103197466945307,0.684934530221156,1.21599546808543,28
"KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES",0.218077474892396,0.852522140931844,0.107972360317345,0.735223293871967,1.24334363735799,16
"KEGG_TYROSINE_METABOLISM",0.21832884097035,0.852522140931844,0.103958471559957,0.694269659731927,1.21444970439757,24
"KEGG_ECM_RECEPTOR_INTERACTION",0.227218934911243,0.866602449428925,0.0937465422491719,0.621886897656744,1.17743445362105,54
"KEGG_ACUTE_MYELOID_LEUKEMIA",0.235668789808917,0.871497584541063,0.234392647294686,-0.490569871617364,-1.17803211922408,54
"KEGG_GLYCOSAMINOGLYCAN_DEGRADATION",0.24103299856528,0.871497584541063,0.101713902282311,0.723299258054488,1.22317877834323,16
"KEGG_NOTCH_SIGNALING_PATHWAY",0.244444444444444,0.871497584541063,0.213927855492356,-0.484707734168421,-1.13564711892815,43
"KEGG_DILATED_CARDIOMYOPATHY",0.256804733727811,0.887278582930757,0.086794975677172,0.596196311123045,1.14538308194913,65
"KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY",0.259754738015608,0.887278582930757,0.0828962134571565,0.569240469836338,1.13884834452397,106
"KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM",0.290754257907543,0.887278582930757,0.0815265143256594,0.615267618770447,1.14483975518212,43
"KEGG_WNT_SIGNALING_PATHWAY",0.301535087719298,0.887278582930757,0.0741758965588009,0.549023459231137,1.10796522512437,122
"KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS",0.304878048780488,0.887278582930757,0.0791316651768349,0.610398918763347,1.1297967077386,41
"KEGG_GNRH_SIGNALING_PATHWAY",0.313588850174216,0.887278582930757,0.0751181635276301,0.569872392447391,1.10399415370108,75
"KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM",0.316472114137484,0.887278582930757,0.080419996876154,0.639676163090794,1.13623664993989,29
"KEGG_FOCAL_ADHESION",0.327956989247312,0.887278582930757,0.0689567351672811,0.532141997466266,1.09048166448743,152
"KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION",0.330952380952381,0.887278582930757,0.0736212741014394,0.579087038741653,1.10395958124763,59
"KEGG_PANCREATIC_CANCER",0.331168831168831,0.887278582930757,0.197822021315103,-0.43091212313442,-1.07917731128268,67
"KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY",0.340425531914894,0.887278582930757,0.204294756516886,-0.431668174697127,-1.08364414191516,73
"KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS",0.340751043115438,0.887278582930757,0.0802023444698144,0.663585309979016,1.13823994264472,20
"KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE",0.342756183745583,0.887278582930757,0.139599673451922,-0.547691554629947,-1.10430679180047,20
"KEGG_BASE_EXCISION_REPAIR",0.346396965865992,0.887278582930757,0.0743625384422526,0.621038165155851,1.11971298043772,33
"KEGG_PENTOSE_PHOSPHATE_PATHWAY",0.347411444141689,0.887278582930757,0.0780892306943345,0.648721619193108,1.12622763528658,22
"KEGG_STEROID_HORMONE_BIOSYNTHESIS",0.351428571428571,0.887278582930757,0.0799858801499946,0.665542808139922,1.12606796369532,17
"KEGG_HEMATOPOIETIC_CELL_LINEAGE",0.352112676056338,0.887278582930757,0.199915231309662,-0.416035146626891,-1.04157664734494,74
"KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM",0.3544474393531,0.887278582930757,0.0764767053228531,0.644600202591708,1.12400581070871,23
"KEGG_CHRONIC_MYELOID_LEUKEMIA",0.358108108108108,0.887278582930757,0.193813302725311,-0.409111832889179,-1.02987428307974,70
